308511	308512	311903	311974
66.1	63.8	66.5	70.7
66	63.7	66.5	69.7
65.9	63.7	66.4	69.4
66.1	63.6	66.5	70
66	63.7	66.4	69.7
65.8	63.7	66.9	69.8
66.1	63.7	66.2	69.5
66	63.6	66.1	69.6
66	63.6	66.4	69.8
66	63.7	65.9	69.9
66	63.7	66.3	69.7
66.1	63.6	66.1	69.6
66.2	63.7	65.9	69.8
66.2	63.7	65.9	69.4
66.1	63.7	66	69.3
66	63.7	66.2	69.7
66.1	63.6	66.3	69.7
66.2	63.6	66	69.5
66.2	63.6	66.4	69.7
66.2	63.6	66	70
66.1	63.6	66.2	69.7
66.2	63.6	66.2	69.9
66.1	63.8	66.4	69.9
66.2	63.8	65.9	69.7
66.1	63.8	66.1	69.8
66.1	63.7	66.4	69.8
66.2	63.7	66.4	69.8
66.2	63.7	66.4	69.8
66.2	63.6	66.3	70
66.2	63.6	66.5	69.8
66.1	63.6	66.6	69.9
66	63.6	66.6	69.7
66.1	63.6	66.1	69.8
65.8	63.6	66.1	69.7
66.1	63.7	66.6	69.9
66.1	63.7	66.5	69.3
66.2	63.7	66.3	69.6
66.2	63.6	66.5	69.5
66.2	63.5	66.6	69.4
66.2	63.6	66.7	69.6
66.2	63.7	66.1	69.5
66.2	63.7	66.1	69.2
66.2	63.8	66.5	69.6
65.9	63.7	66.3	68.8
66.1	63.6	66	69.9
66.1	63.8	66.4	69.9
66.1	63.9	66.4	70.1
66	64	66.3	69.9
65.9	64.2	66.3	69.2
66	63.8	66.4	68.4
66.1	63.7	66.5	69.2
66.1	63.7	66.2	68.2
66	63.7	66.2	68.8
66	63.8	66.3	68.8
65.8	63.6	66.4	69.5
66.1	63.4	65.6	70.2
66	63.3	65.8	69.9
66	63.5	66.1	71.1
66.1	63.5	65.8	70.8
65.9	63	66.1	70.6
66	63.6	66.1	70
65.9	63.5	66	69.7
65.8	63.1	65.8	70.4
64.9	63.5	66	70.6
64.9	63.9	66.5	70.7
65.3	60.6	66.9	71
65.9	62.2	66.5	71.1
65.7	62.9	66.5	71.4
65.8	63.7	66.8	72.2
66.1	64.3	66.4	72.4
66.3	64	66.9	72.3
67.1	63.9	67.7	71.5
65.8	61.4	66.4	68.7
65.6	63	65.9	67.4
64.7	63.6	65.3	66.2
65.2	63.7	65.6	65.7
64.8	63.9	65.9	65.4
65.1	64.1	65.8	65.5
64.9	63.1	65.4	65.1
65.4	62.8	65.2	65.1
65.1	63.6	64.4	64.1
65.2	63.6	64.6	64
66	63.4	65.6	64.6
64.9	64.2	65	64.2
64	64.1	65.1	63.8
65.3	64.1	65	63.8
65.2	63.6	64.3	63.3
64.8	63.4	63.6	62.8
65.4	62.7	63.8	61.5
65.2	62.9	63.6	59.5
65.5	62.8	61.9	54.7
65.9	63.9	62.6	51.8
66	63.4	61.7	51.2
65.3	63.3	60.6	47
65.1	62.2	59.6	45.9
65.1	62.7	61.8	46.2
63.6	63.1	62.1	46.7
65	63.7	62.8	48.4
65.6	63	62	49.9
65.5	63	63.5	51.9
65.6	63.1	63.2	54.3
65.9	62.8	62.1	55.8
65.8	63.3	62.5	58.1
65.7	63	62.7	58.3
66.1	62.2	62.9	59
65.9	62.1	61.9	59
65.9	61.7	60.3	59.5
66.2	61.7	61.2	60.1
66.4	61.6	62.6	60
65.7	61.7	61.9	59.9
63.8	61.5	62.1	60.9
65.1	61.9	63.6	60.7
65.7	61.3	63.7	61.4
65.7	60.6	63.8	61.5
65.2	61.2	63.6	60.7
65.7	61.6	63.1	61.5
65.7	61.5	63.1	61
65.6	61.4	62.8	61.1
64.9	61.5	62.7	60.9
65	61.2	63.2	61.2
65.3	60.7	63.3	61.1
65.5	61	63.9	60.7
64.8	60.3	62.8	61.1
63.7	61.5	63	61.2
64.8	61.6	63.8	61.6
65.6	61.9	62.3	61.3
64	61.4	63.1	61.2
65	62.1	63.1	60.6
64.4	62.7	63.1	60.9
64.3	62.2	63.1	61.2
65.3	62.7	63.5	61.1
65.2	62.5	62.8	61.3
65.2	63	63.2	61.2
65.2	62.6	63	60.5
65.4	62.4	62.8	61.6
63.6	62.4	62.6	61.5
63.2	61.9	62.7	61.4
63.8	62.3	62.8	61.6
65.7	62.2	63.5	61.9
66	62.7	62.8	61.7
65.9	63.3	62.1	61.4
66.3	62.6	61.5	61.3
64.6	62.7	61.9	61.4
64.4	62.5	62.2	61.7
65.3	62.6	61.4	62
64.4	62.5	62.6	61.3
65.6	62	63.1	61.8
63.4	62.5	63.6	61
64.9	62	64	61.4
64.6	62.2	63.4	61.2
63.9	62.1	62.8	61.1
63.9	62.7	62.6	60.5
64.9	63.1	62.7	60.1
65.5	63.4	62.7	58.9
65.3	62.8	63	59.8
66.1	63.8	63.2	60.6
66.3	63.2	62.8	60.7
63.7	63	61.4	60.9
65	62.2	61.5	59.6
64.9	61.6	62.3	60.7
64.9	62.5	62.6	60.6
64.1	63	62.6	60.8
65.4	62.9	62.7	61
64.4	62.9	63.3	60.2
64.9	62.7	61.3	60.6
65	62.3	62.1	59.5
65.5	62.3	63.1	60.7
65.1	62.7	63.3	60.3
64.9	62	63.4	60.8
64.7	62.4	62.7	60.9
64.8	62.3	62	60.7
65	62.5	61.6	59.9
65.5	61.9	61.2	59.4
66	61.6	61.4	58.9
65.3	62.6	60.2	58.9
65.8	62.1	58.8	56.1
65.8	62.3	58.5	53.9
65.7	62.6	59.5	52.3
65.5	62.4	58.8	54.2
65.8	62.6	60.2	50.2
64.7	62.8	60.2	49.3
64.9	62.8	57.5	50.4
65.3	62.7	56.6	49.8
64.2	62.5	58.3	49.2
64.2	63.1	58.5	47.8
64.5	63.2	60.2	49
64.8	62.3	60.3	46.8
63.7	62.5	55.3	42.3
64.9	63.1	50.5	39.4
65.2	63.4	47.2	36.1
64.7	62.6	44.8	33.6
65.2	63.1	43.7	32.4
65.5	63.3	46.9	32.1
65.5	63.3	50.5	31.2
65.9	63.7	53.5	28.6
65.9	62.8	50.9	27.5
65.9	62.7	48.1	25.7
65	62.6	45	25.1
65.3	63.6	44.3	24.6
64.8	63.5	41.8	24.6
65.2	63.3	41.6	25.2
65.5	63.3	42.2	23.3
65.4	64	42.8	23
65.4	63.5	43.1	21.9
64.6	63.3	43.6	21.9
65.2	63.4	41.8	22.1
65.5	62.9	42.6	22.9
65.9	63	42.8	21.5
65.3	62.3	41.6	21.3
64.7	62.7	38.7	21.6
65.1	62.9	37.7	21.3
65.5	63.5	37.4	21.4
65.1	63.1	38	22.2
65.3	63.5	40.7	21.9
65.5	63.8	42	23.9
65	64.2	42.1	26.9
65.5	63.8	42.4	28.4
65.4	63.6	44.2	29.5
65.9	62.5	50.1	33.1
65.9	63.2	56.9	40
65.5	63.3	58.9	46.4
65.5	63.1	60	55.9
65.5	63.2	60.7	59.6
65.7	65	61.7	62.7
65.2	63.7	62.9	64.4
65.8	64	62.7	65.9
64	64.3	63.6	66.2
65.4	64.2	63.9	67.4
64.7	63.9	63.8	68.3
65.3	64.5	64.1	68.8
65.3	64.9	64.4	69.3
65.5	64.5	65	69.6
65.3	64.2	64.6	70.1
65.2	64.2	64.6	69.9
65.7	64.3	65	69.8
65.1	64.4	65.8	70.2
65.5	64.2	65.6	70
65.9	64.1	65.8	69.8
65.5	65.5	64.6	70.1
65.7	64.1	65	69.6
65.5	64.3	66.3	69.7
65.7	64.2	65.5	69.8
65.3	64.5	66.2	69.9
64.9	64.8	65.6	69.9
65.5	65	66.5	69.5
65.5	64.7	65.5	69.6
65.5	63.8	65.3	69.6
65.7	63.7	64.7	69.3
65.4	63.9	63.8	69.1
65.8	63	64.7	69
65.5	63.7	64.4	69.2
65.3	64.1	63.8	69
65.7	63.6	65	69
65.6	63.4	64.7	69
65.7	63.8	65	69.1
65.6	64.2	65.1	68.9
65.6	63.9	65.7	68.8
65.8	63.6	66	69.5
65.4	64	66.3	69.6
65.6	65.8	66.8	69.4
65.5	65.1	67.6	69.9
65.8	64.9	66.5	70.3
65.9	64	66.4	70.2
65.3	63.6	67.1	70
65.7	63.6	66.1	70.1
65.9	63.6	65.6	70.2
65.9	64	65.3	70.4
65.6	64.1	64.9	70.3
